ID PUNTO DE VENTA,PUNTO DE VENTA,ID SAP,PAÍS,ID REGIONAL,REGIONAL,DEPARTAMENTO,ID CIUDAD,CIUDAD,CEDI,ID ZONA,LATITUD,LONGITUD,ID CANAL,CANAL,ID SUBCANAL,SUBCANAL,ID TIPOLOGÍA,TIPOLOGÍA,ID CADENA,CADENA,ID SEGMENTO,SEGMENTO,ESTADO,DIRECCIÓN,ID BARRIO,BARRIO,CLIENTE ID,CLIENTE,ESTADO ASOC CLIENTE,ID LAB
2271066,ABASTOS EL TRAILER,1128063633.0,COLOMBIA,39380006,SANTANDER,NORTE DE SANTANDER,54001,CÚCUTA,HIPINTO CUCUTA,,7.893716,-72.493534,7761,MINIMERCADOS,286927,AUTOSERVICIOS,312429,D,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,CL 7 6A 84,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,1128063633.0
2271067,ABASTOS LA 32,1128102533.0,COLOMBIA,39380006,SANTANDER,NORTE DE SANTANDER,54001,CÚCUTA,HIPINTO CUCUTA,,7.9325722,-72.5204421,7761,MINIMERCADOS,286927,AUTOSERVICIOS,312429,D,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,AV 8 31 90,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,1128102533.0
2271068,ABASTOS R Y R,1128071586.0,COLOMBIA,39380006,SANTANDER,NORTE DE SANTANDER,54001,CÚCUTA,HIPINTO CUCUTA,,7.883317,-72.478629,7761,MINIMERCADOS,286927,AUTOSERVICIOS,312429,D,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,CL 23 11 29,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,1128071586.0
2270565,ABASTOS Y TERRASA EL RODEO,104029604.0,COLOMBIA,39380002,COSTA,BOLIVAR,13001,CARTAGENA,POSTOBON CARTAGENA,,10.373116,-75.459607,7761,MINIMERCADOS,286927,AUTOSERVICIOS,312428,C,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,EL RODEO MZ 15 LT 8 CETOR 1,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,104029604.0
2270566,AHORRAMAS EXPRESS,215129403.0,COLOMBIA,39380001,CENTRO SUR,BOGOTA D.C,11001,BOGOTÁ,GASEOSAS LUX,,4.652507,-74.13822,9256,SUPERETES,286927,AUTOSERVICIOS,312429,D,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,KR 81 A 13 A 21,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,215129403.0
2270567,AHORRAMAS JN 2,227042454.0,COLOMBIA,39380005,CENTRO NORTE,BOGOTA D.C,11001,BOGOTÁ,LUX CEDI LA 80,,4.7023153,-74.1321475,9256,SUPERETES,286927,AUTOSERVICIOS,312429,D,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,KR 111 64 B 04,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,227042454.0
2271069,AHORRAMAX G.C.,215158704.0,COLOMBIA,39380001,CENTRO SUR,BOGOTA D.C,11001,BOGOTÁ,GASEOSAS LUX,,4.669883,-74.149533,7761,MINIMERCADOS,286927,AUTOSERVICIOS,312428,C,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,KR 100 16 C 28,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,215158704.0
2281226,AHORRO LA 14,114015561.0,COLOMBIA,39380003,OCCIDENTE,CALDAS,17001,MANIZALES,CEDI MANIZALES,,200.0,200.0,9256,SUPERETES,308956,NO APLICA   ,308956,NO APLICA   ,130290,NO APLICA   ,308921,NO APLICA,ACTIVO,KR 20 28 40 ,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,114015561.0
2281189,AHORRO LA FLORIDA,114018168.0,COLOMBIA,39380003,OCCIDENTE,CALDAS,17001,MANIZALES,CEDI MANIZALES,,200.0,200.0,9256,SUPERETES,308956,NO APLICA   ,308956,NO APLICA   ,130290,NO APLICA   ,308921,NO APLICA,ACTIVO,CL 6 10 50,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,114018168.0
2283936,AHORRO LA PRADERA,114017848.0,COLOMBIA,39380003,OCCIDENTE,CALDAS,17001,MANIZALES,CEDI MANIZALES,,200.0,200.0,308956,NO APLICA   ,308956,NO APLICA   ,308956,NO APLICA   ,130290,NO APLICA   ,308921,NO APLICA,ACTIVO,CL 6 10 50,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,114017848.0
